W0430 02:41:55.673000 2719175 torch/distributed/run.py:803] 
W0430 02:41:55.673000 2719175 torch/distributed/run.py:803] *****************************************
W0430 02:41:55.673000 2719175 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0430 02:41:55.673000 2719175 torch/distributed/run.py:803] *****************************************
Hyperparameters:
  adam_eps: 1e-08
  adam_wd: 0.02
  artifact_dir: 
  attn_clip_sigmas: 13.0
  attn_out_gate: True
  beta1: 0.9
  beta2: 0.95
  compressor: brotli
  data_dir: ./data/
  datasets_dir: ./data/datasets/fineweb10B_sp8192
  distributed: True
  ema_decay: 0.9965
  embed_bits: 6
  embed_clip_sigmas: 20.0
  embed_lr: 0.6
  embed_wd: 0.085
  enable_looping_at: 0.35
  eval_seq_len: 2048
  eval_stride: 64
  gate_width: 32
  global_ttt_batch_seqs: 32
  global_ttt_chunk_tokens: 32768
  global_ttt_epochs: 1
  global_ttt_grad_clip: 1.0
  global_ttt_lr: 0.001
  global_ttt_momentum: 0.9
  global_ttt_respect_doc_boundaries: True
  global_ttt_warmup_chunks: 0
  global_ttt_warmup_start_lr: 0.0
  gptq_calibration_batches: 16
  gptq_reserve_seconds: 4.0
  grad_accum_steps: 1
  grad_clip_norm: 0.3
  is_main_process: True
  iterations: 20000
  leaky_slope: 0.5
  ln_scale: True
  local_rank: 0
  logfile: logs/seed_1234.txt
  logit_softcap: 30.0
  loop_end: 5
  loop_start: 3
  lqer_asym_enabled: True
  lqer_asym_group: 64
  lqer_enabled: False
  lqer_factor_bits: 4
  lqer_rank: 4
  lqer_top_k: 3
  matrix_bits: 6
  matrix_clip_sigmas: 12.85
  matrix_lr: 0.026
  max_wallclock_seconds: 600.0
  min_lr: 0.1
  mlp_clip_sigmas: 10.0
  mlp_mult: 4.0
  model_dim: 512
  model_path: final_model.pt
  muon_backend_steps: 5
  muon_momentum: 0.97
  muon_momentum_warmup_start: 0.92
  muon_momentum_warmup_steps: 1500
  muon_row_normalize: True
  muon_wd: 0.095
  num_heads: 8
  num_kv_heads: 4
  num_layers: 11
  num_loops: 2
  parallel_final_lane: mean
  parallel_start_layer: 8
  phased_ttt_enabled: False
  phased_ttt_num_phases: 1
  phased_ttt_prefix_docs: 2000
  qk_gain_init: 5.0
  quantized_model_path: final_model.int6.ptz
  rank: 0
  rho1_enabled: False
  rho1_top_k: 0.7
  rope_base: 10000.0
  rope_dims: 16
  rope_train_seq_len: 2048
  rope_yarn: False
  run_id: seed_1234
  scalar_lr: 0.02
  seed: 1234
  sin_squared_activation: False
  skip_gates_enabled: True
  sliding_window_enabled: False
  smear_gate: True
  tie_embeddings: True
  tied_embed_init_std: 0.005
  tied_embed_lr: 0.03
  tokenizer_path: ./data/tokenizers/fineweb_8192_bpe.model
  train_batch_tokens: 786432
  train_files: ./data/datasets/fineweb10B_sp8192/fineweb_train_*.bin
  train_log_every: 500
  train_seq_len: 2048
  ttt_batch_size: 64
  ttt_beta1: 0.0
  ttt_beta2: 0.999
  ttt_chunk_size: 48
  ttt_enabled: True
  ttt_eval_batches: 
  ttt_eval_seq_len: 2048
  ttt_grad_steps: 1
  ttt_k_lora: True
  ttt_lora_lr: 0.0001
  ttt_lora_rank: 96
  ttt_mlp_lora: True
  ttt_o_lora: True
  ttt_optimizer: adam
  ttt_weight_decay: 0.5
  val_batch_tokens: 524288
  val_doc_fraction: 1.0
  val_files: ./data/datasets/fineweb10B_sp8192/fineweb_val_*.bin
  val_loss_every: 4000
  vocab_size: 8192
  warmdown_frac: 0.75
  warmup_steps: 20
  world_size: 8
  xsa_last_n: 11
train_shards: 80
val_tokens: 40546304
model_params:35947451
gptq:reserving 4s, effective=596000ms
warmup_cu_buckets:64,128,192,256 iters_each:3
warmup_step: 1/20
warmup_step: 2/20
warmup_step: 3/20
warmup_step: 4/20
warmup_step: 5/20
warmup_step: 6/20
warmup_step: 10/20
warmup_step: 20/20
loop_warmup:enabled encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
loop_warmup_step: 1/20
loop_warmup_step: 2/20
loop_warmup_step: 3/20
loop_warmup_step: 4/20
loop_warmup_step: 5/20
loop_warmup_step: 6/20
loop_warmup_step: 10/20
loop_warmup_step: 20/20
0/20000 val_loss: 9.0074 val_bpb: 3.4875
1/20000 train_loss: 9.0076 train_time: 0.0m tok/s: 12533857
2/20000 train_loss: 12.2123 train_time: 0.0m tok/s: 11605147
3/20000 train_loss: 11.2370 train_time: 0.0m tok/s: 10354317
4/20000 train_loss: 9.6263 train_time: 0.0m tok/s: 9798033
5/20000 train_loss: 8.1133 train_time: 0.0m tok/s: 9519846
500/20000 train_loss: 3.2982 train_time: 0.8m tok/s: 8228606
1000/20000 train_loss: 3.1126 train_time: 1.6m tok/s: 8188883
1500/20000 train_loss: 3.1027 train_time: 2.4m tok/s: 8188690
2000/20000 train_loss: 3.0514 train_time: 3.2m tok/s: 8185033
layer_loop:enabled step:2169 frac:0.350 encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
2500/20000 train_loss: 3.0552 train_time: 4.2m tok/s: 7713131
3000/20000 train_loss: 2.8495 train_time: 5.4m tok/s: 7259914
3500/20000 train_loss: 2.8931 train_time: 6.7m tok/s: 6891278
4000/20000 train_loss: 2.9547 train_time: 7.8m tok/s: 6700482
4000/20000 val_loss: 2.8765 val_bpb: 1.1137
4500/20000 train_loss: 2.7800 train_time: 9.0m tok/s: 6560684
4905/20000 val_loss: 2.7903 val_bpb: 1.0804
stopping_early: wallclock_cap train_time: 596082ms step: 4905/20000
peak memory allocated: 40445 MiB reserved: 44498 MiB
ema:applying EMA weights
diagnostic pre-quantization post-ema val_loss:2.76310153 val_bpb:1.06982350 eval_time:6949ms
Serialized model: 135424701 bytes
Code size (uncompressed): 130789 bytes
Code size (compressed): 29430 bytes
GPTQ:collecting Hessians from calibration data...
GPTQ:collected 67 Hessians in 3.5s
Quantized weights:
